name,colour,band
Zest Interlined Roman,Marshmallow,A
Zest Interlined Roman,Mustard,A
Zest Interlined Roman,Silver,A
Adore Roman,Emerald,D
Adore Roman,Graphite,D
Adore Roman,Rose Blush,D
Adore Roman,Stone,D
Adore Roman,Sulphur,D
Agra Roman,Fuchsia,C
Agra Roman,Pearl,C
Agra Roman,Steel,C
Alana Roman,Midnight,E
Alana Roman,Pastel,E
Alana Roman,Sombre,E
Amira Roman,Cranberry,A
Amira Roman,Mineral,A
Amira Roman,Rosa,A
Amira Roman,Silver,A
Amira Roman,Sunset,A
Amira Roman,Topaz,A
Amora Roman,Brass,B
Amora Roman,Charcoal,B
Amora Roman,Teal,B
Arles Roman,Ice,B
Arles Roman,Mineral,B
Arles Roman,Silver,B
Astrid Roman,Black,A
Astrid Roman,Clay,A
Astrid Roman,Cornflower,A
Astrid Roman,Fiesta,A
Astrid Roman,Forest,A
Astrid Roman,Greige,A
Astrid Roman,Hot Pink,A
Astrid Roman,Ice White.,A
Astrid Roman,Lake,A
Astrid Roman,Lavender,A
Astrid Roman,Meadow,A
Astrid Roman,Pastel Blue,A
Astrid Roman,Plum,A
Astrid Roman,Sunshine,A
Astrid Roman,Taupe,A
Bounce Roman,Pink,B
Bounce Roman,Putty,B
Bryony Roman,Golden,A
Bryony Roman,Gunmetal,A
Bryony Roman,Ocean,A
Bryony Roman,Silver,A
Calm Roman,Arctic,D
Calm Roman,Ash,D
Calm Roman,Whip,D
Capri Roman,Chilli,D
Capri Roman,Cream,D
Capri Roman,Greige,D
Capri Roman,Lavender Fog,D
Capri Roman,Sand,D
Capri Roman,Stone Blue,D
Capri Roman,Taffy,D
Cassia Roman,Coral,D
Cassia Roman,Oatmeal,D
Cassia Roman,Petrol Blue,D
Cassia Roman,Plum,D
Cassia Roman,Rust,D
Cassia Roman,Silver Birch,D
Cassia Roman,Smoke,D
Cassia Roman,Sulphur,D
Cassia Roman,Teal,D
Celebrate Roman,Multi,B
Celebrate Roman,Pastel,B
Cloud Roman,Charcoal,D
Cloud Roman,Mineral,D
Cloud Roman,Oat,D
Cloud Roman,Rose,D
Cloud Roman,Taupe,D
Cora Roman,Lilac,B
Cora Roman,Silver,B
Cora Roman,Taupe,B
Daisy Chain Roman,Linen,E
Daisy Chain Roman,Ocean,E
Daisy Chain Roman,Shadow,E
Dash Roman,Jade,C
Dash Roman,Rose,C
Dash Roman,Slate,C
Dash Roman,Twilight,C
Desire Roman,Midnight,
Evelyn Roman,Grey,D
Evelyn Roman,Ivory,D
Evelyn Roman,Petal,D
Felicity Roman,Autumn,E
Felicity Roman,Greenery,E
Felicity Roman,Silver Birch,E
Felicity Roman,Wedgwood,E
Ford Roman,Blue,D
Ford Roman,Mink,D
Ford Roman,Olive,D
Glamour Roman,Aurum,E
Glamour Roman,Cointreau,E
Glamour Roman,Emerald,E
Glamour Roman,Midnight,E
Glamour Roman,Rose,E
Glamour Roman,Rouge,E
Glamour Roman,Signet,E
Glamour Roman,Taupe,E
Glamour Roman,Teal,E
Glee Roman,Azure,B
Glee Roman,Hemp,B
Glee Roman,Sienna,B
Hazel Roman,Brush,D
Hazel Roman,Ivory,D
Hazel Roman,Ochre,D
Hazel Roman,Silver,D
Ikat Roman,Mineral,C
Ikat Roman,Rosa,C
Jennifer Roman,Evening Haze,C
Jennifer Roman,Honey,C
Jennifer Roman,Natural,C
Jennifer Roman,Rust,C
Karma Roman,Aspen,B
Karma Roman,Charcoal,B
Karma Roman,Merlot,B
Karma Roman,Natural,B
Karma Roman,Rust,B
Karma Roman,Sahara,B
