system,band,width_mm,drop_mm,price
Model 03 Single,STD,4000,1200,1223
Model 03 Double Track,STD,4000,1200,1415
Model 03 Single,STD,5000,1200,1529
Model 03 Double Track,STD,5000,1200,1769
Model 03 Single,STD,6000,1200,1835
Model 03 Double Track,STD,6000,1200,2123
Model 03 Single,STD,900,1400,321
Model 03 Double Track,STD,900,1400,371
Model 03 Single,STD,1200,1400,428
Model 03 Double Track,STD,1200,1400,495
Model 03 Single,STD,1500,1400,535
Model 03 Double Track,STD,1500,1400,619
Model 03 Single,STD,1800,1400,642
Model 03 Double Track,STD,1800,1400,743
Model 03 Single,STD,2100,1400,749
Model 03 Double Track,STD,2100,1400,867
Model 03 Single,STD,2400,1400,856
Model 03 Double Track,STD,2400,1400,991
Model 03 Single,STD,2700,1400,963
Model 03 Double Track,STD,2700,1400,1114
Model 03 Single,STD,3100,1400,1106
Model 03 Double Track,STD,3100,1400,1280
Model 03 Single,STD,4000,1400,1427
Model 03 Double Track,STD,4000,1400,1651
Model 03 Single,STD,5000,1400,1784
Model 03 Double Track,STD,5000,1400,2064
Model 03 Single,STD,6000,1400,2141
Model 03 Double Track,STD,6000,1400,2477
Model 03 Single,STD,900,1600,367
Model 03 Double Track,STD,900,1600,425
Model 03 Single,STD,1200,1600,489
Model 03 Double Track,STD,1200,1600,566
Model 03 Single,STD,1500,1600,612
Model 03 Double Track,STD,1500,1600,708
Model 03 Single,STD,1800,1600,734
Model 03 Double Track,STD,1800,1600,849
Model 03 Single,STD,2100,1600,856
Model 03 Double Track,STD,2100,1600,991
Model 03 Single,STD,2400,1600,979
Model 03 Double Track,STD,2400,1600,1132
Model 03 Single,STD,2700,1600,1101
Model 03 Double Track,STD,2700,1600,1274
Model 03 Single,STD,3100,1600,1264
Model 03 Double Track,STD,3100,1600,1462
Model 03 Single,STD,4000,1600,1631
Model 03 Double Track,STD,4000,1600,1887
Model 03 Single,STD,5000,1600,2039
Model 03 Double Track,STD,5000,1600,2359
Model 03 Single,STD,6000,1600,2447
Model 03 Double Track,STD,6000,1600,2830
Model 03 Single,STD,900,1800,413
Model 03 Double Track,STD,900,1800,478
Model 03 Single,STD,1200,1800,551
Model 03 Double Track,STD,1200,1800,637
Model 03 Single,STD,1500,1800,688
Model 03 Double Track,STD,1500,1800,796
Model 03 Single,STD,1800,1800,826
Model 03 Double Track,STD,1800,1800,955
Model 03 Single,STD,2100,1800,963
Model 03 Double Track,STD,2100,1800,1114
Model 03 Single,STD,2400,1800,1101
Model 03 Double Track,STD,2400,1800,1274
Model 03 Single,STD,2700,1800,1239
Model 03 Double Track,STD,2700,1800,1433
Model 03 Single,STD,3100,1800,1422
Model 03 Double Track,STD,3100,1800,1645
Model 03 Single,STD,4000,1800,1835
Model 03 Double Track,STD,4000,1800,2123
Model 03 Single,STD,5000,1800,2294
Model 03 Double Track,STD,5000,1800,2654
Model 03 Single,STD,6000,1800,2753
Model 03 Double Track,STD,6000,1800,3184
Model 03 Single,STD,900,2000,459
Model 03 Double Track,STD,900,2000,531
Model 03 Single,STD,1200,2000,612
Model 03 Double Track,STD,1200,2000,708
Model 03 Single,STD,1500,2000,765
Model 03 Double Track,STD,1500,2000,885
Model 03 Single,STD,1800,2000,918
Model 03 Double Track,STD,1800,2000,1061
Model 03 Single,STD,2100,2000,1070
