name,colour,band,code
Glimpse Denim 3.0 MT Roller,,C,RP5382
Glimpse Gaze 3.0mt Roller,,C,RP5998
Glimpse Noir 3.0mt Roller,,C,RP5995
Glimpse Oyster 3.0mt Roller,,C,RP6000
Glimpse Sage 3.0 MT Roller,,C,RP5381
Glimpse Snow 3.0mt Roller,,C,RP5994
Glimpse Twilight 3.0mt Roller,,C,RP5996
Halo Pure 2.0mt Roller,,A,RP5976
Hanson Astor 2.0mt Roller,,C,RP5082
Hanson Ballet 2.0MT Roller,,C,RP5388
Hanson Chili 2.0mt Roller,,C,RP5083
Hanson Denim 2.0mt Roller,,C,RP5084
Hanson Dusk 2.0mt Roller,,C,RP5085
Hanson Graphite 2.0mt Roller,,C,RP5086
Hanson Honey 2.0MT Roller,,C,RP5387
Hanson Marine 2.0MT Roller,,C,RP5389
Hanson Midnight  2.0MT Roller,,C,RP5390
Hanson Nori 2.0mt Roller,,C,RP5087
Hanson Sand 2.0mt Roller,,C,RP5088
Hanson Shadow 2.0mt Roller,,C,RP5090
Hanson Shell 2.0mt Roller,,C,RP5089
Hayden Empire 3.0mt Roller,,B,RP5993
Hayden Fern 3.0mt Roller,,B,RP5990
Hayden Harmony 3.0MT Roller,,B,RP5321
Hayden Heritage 3.0MT Roller,,B,RP5322
Hayden Honey 3.0MT Roller,,B,RP5323
Hayden Midnight 3.0MT Roller,,B,RP5400
Hayden Mist 3.0mt Roller,,B,RP5991
Hayden Shadow 3.0mt Roller,,B,RP5992
Hayden Sky 3.0MT Roller,,B,RP5320
Hayden Warmth 3.0mt Roller,,B,RP5989
Hayden Whisper 3.0mt Roller,,B,RP5988
Hayworth Empire 3.0mt Roller,,C,RP6068
Hayworth Fern 3.0mt Roller,,C,RP6065
Hayworth Harmony 3.0MT Roller,,C,RP5325
Hayworth Heritage 3.0MT Roller,,C,RP5326
Hayworth Honey 3.0MT Roller,,C,RP5327
Hayworth Midnight 3.0MT Roller,,C,RP5411
Hayworth Mist 3.0mt Roller,,C,RP6066
Hayworth Shadow 3.0mt Roller,,C,RP6067
Hayworth Sky 3.0MT Roller,,C,RP5324
Hayworth Warmth 3.0mt Roller,,C,RP6064
Hayworth Whisper 3.0mt Roller,,C,RP6063
Henlow Astor 2.0mt Roller,,B,RP5092
Henlow Ballet 2.0MT Roller,,B,RP5314
Henlow Chili 2.0mt Roller,,B,RP5093
Henlow Denim 2.0mt Roller,,B,RP5094
Henlow Dusk 2.0mt Roller,,B,RP5095
Henlow Graphite 2.0mt Roller,,B,RP4312
Henlow Honey 2.0MT Roller,,B,RP5313
Henlow Marine 2.0MT Roller,,B,RP5315
Henlow Midnight 2.0MT Roller,,B,RP5399
Henlow Nori 2.0mt Roller,,B,RP5096
Henlow Sand 2.0mt Roller,,B,RP4313
Henlow Shadow 2.0mt Roller,,B,RP4204
Henlow Shell 2.0mt Roller,,B,RP5097
Isla Aloe 1.83mt Roller,,C,RP5099
Isla Ivory 1.83mt Roller,,C,RP5100
Isla Marina 1.83mt Roller,,C,RP5101
Isla Sorbet 1.83mt Roller,,C,RP5102
Isla Whisper 1.83mt Roller,,C,RP5103
Java Cream Wide 1.9mt Roller,,A,RP747
Java White Wide 1.9mt Roller,,A,RP746
Kashi Devine 1.83MT Roller,,B,RP5482
Kashi Lima 1.83MT Roller,,B,RP5480
Kashi Paradise 1.83MT Roller,,B,RP5478
Kashi Salva 1.83MT Roller,,B,RP5481
Kashi Utopia 1.83MT Roller,,B,RP5479
Kelso Blockout Charm 2.0MT Roller,,D,RP5822
Kelso Blockout Enchant 2.0MT Roller,,D,RP5820
Kelso Blockout Mystique 2.0MT Roller,,D,RP5821
Kelso Charm 2.0MT Roller,,B,RP5456
Kelso Enchant 2.0MT Roller,,B,RP5493
Kelso Mystique 2.0MT Roller,,B,RP5455
Kira Cream Wide 2.04mt Roller,,A,RP745
Kira White Wide 2.04mt Roller,,A,RP744
Kona Escape 2mt roller,,C,RP6107
Kona Fresco 2mt roller,,C,RP6106
Lacuna Flare 2MT Roller,,C,RP6124
Lacuna Imagine 2MT Roller,,C,RP6125
Lacuna Muse 2MT Roller,,C,RP6126
Leighton Pure 3.0 MT Roller,,C,RP5341
Leighton Summer 3.0 MT Roller,,C,RP5343
Leighton Twilight 3.0 MT Roller,,C,RP5342
Lennox Pure 3.0 MT Roller,,D,RP5338
Lennox Summer 3.0 MT Roller,,D,RP5340
Lennox Twilight 3.0 MT Roller,,D,RP5339
Liberte Blush 2.0mt Roller,,B,RP6148
Liberte Coast 2.0mt Roller,,B,RP6146
Liberte Pebble 2.0mt Roller,,B,RP6147
Lissa Sand 1.83mt Roller,,C,RP6157
Lissa Sky 1.83mt Roller,,C,RP6159
Lissa Tranquil 1.83mt Roller,,C,RP6158
Lottie Citrine 2.0mt Roller,,C,RP6149
Lottie Lemon 2.0mt Roller,,C,RP6150
Lottie Rouge 2.0mt Roller,,C,RP6151
Luxari Beige 1.83mt Roller,,C,RP4089
Luxari Cream 1.83mt Roller,,C,RP4088
Luxari White 1.83mt Roller,,C,RP4087
Malimo Frost 2.0mt Roller,,A,RP1226
Malimo Oyster 2.0mt Roller,,A,RP1227
Mallory Aurora 2.0MT Roller,,C,RP5450
Mallory Glow 2.0mt Roller,,C,RP5963
Mallory Sunrise 2.0mt Roller,,C,RP5962
Mallory Twilight 2.0mt Roller,,C,RP5964
Marlow Cotton 2.0mt Roller,,C,RP5530
Marlow Graphite 2.0mt Roller,,C,RP4293
Marlow Ivory 2.0mt Roller,,C,RP4294
Marlow Steel 2.0mt Roller,,C,RP4297
Marlow Stone 2.0mt Roller,,C,RP5531
Memento Aurora 2.0mt Roller,,C,RP5953
Memento Blockout Aurora 2.0MT Roller,,D,RP2525
Memento Blockout Dawn 2.0MT Roller,,D,RP2524
Memento Blockout Twilight 2.0MT Roller,,D,RP2526
Memento Dawn 2.0mt Roller,,C,RP5952
Memento Twilight 2.0MT Roller,,C,RP5451
Messina Femme 2.0MT Roller,,C,RP5448
Messina Raven 2.0MT Roller,,C,RP5360
Messina Riviera 2.0MT Roller,,C,RP5361
Messina Sky 2.0MT Roller,,C,RP5449
Messina Warmth 2.0MT Roller,,C,RP5359
Messina Whisper 2.0MT Roller,,C,RP5358
Metz Ash 1.83mt Roller,,C,RP5111
Metz Black 1.83mt Roller,,C,RP354
Metz Ivory 1.83mt Roller,,C,RP4079
Metz Moon 1.83mt Roller,,C,RP6008
Metz Stone 1.83mt Roller,,C,RP5112
Metz White 1.83mt Roller,,C,RP350
Midas Crystal 2.0mt Roller,,E,RP4005
Midas Zircon 2.0mt Roller,,E,RP6007
Miro Blockout Cardona 2.0MT Roller,,D,RP2523
Miro Blockout Modesto 2.0MT Roller,,D,RP2521
Miro Blockout Sonoma 2.0MT Roller,,D,RP2522
Miro Cardona 2.0mt Roller,,C,RP5970
Miro Modesto 2.0MT Roller,,C,RP5452
Miro Sonoma 2.0mt Roller,,C,RP5969
Monarch Cream 2.0mt Roller,,A,RP1241
Monarch White 2.0mt Roller,,A,RP1240
Mood Cosmic 2.0mt Roller,,A,RP5113
Mood Cotton 2.0mt Roller,,A,RP5114
