system,band,width_mm,drop_mm,price
25mm,STD,910,1960,85.0
25mm,STD,1060,1960,94.0
25mm,STD,1210,1960,100.0
25mm,STD,1360,1960,114.0
25mm,STD,1510,1960,119.0
25mm,STD,1660,1960,126.0
25mm,STD,1810,1960,136.0
25mm,STD,1960,1960,146.0
25mm,STD,2110,1960,155.0
25mm,STD,2260,1960,164.0
25mm,STD,2410,1960,171.0
25mm,STD,2560,1960,181.0
25mm,STD,2710,1960,186.0
25mm,STD,2860,1960,195.0
25mm,STD,3010,1960,205.0
25mm,STD,3160,1960,215.0
25mm,STD,3310,1960,221.0
25mm,STD,3460,1960,232.0
25mm,STD,3610,1960,237.0
25mm,STD,3760,1960,246.0
25mm,STD,4000,1960,263.0
25mm,STD,460,2110,62.0
25mm,STD,610,2110,69.0
25mm,STD,760,2110,79.0
25mm,STD,910,2110,86.0
25mm,STD,1060,2110,97.0
25mm,STD,1210,2110,105.0
25mm,STD,1360,2110,117.0
25mm,STD,1510,2110,123.0
25mm,STD,1660,2110,135.0
25mm,STD,1810,2110,146.0
25mm,STD,1960,2110,151.0
25mm,STD,2110,2110,161.0
25mm,STD,2260,2110,171.0
25mm,STD,2410,2110,181.0
25mm,STD,2560,2110,187.0
25mm,STD,2710,2110,197.0
25mm,STD,2860,2110,205.0
25mm,STD,3010,2110,217.0
25mm,STD,3160,2110,225.0
25mm,STD,3310,2110,233.0
25mm,STD,3460,2110,244.0
25mm,STD,3610,2110,252.0
25mm,STD,3760,2110,263.0
25mm,STD,4000,2110,278.0
25mm,STD,460,2260,63.0
25mm,STD,610,2260,70.0
25mm,STD,760,2260,81.0
25mm,STD,910,2260,94.0
25mm,STD,1060,2260,100.0
25mm,STD,1210,2260,114.0
25mm,STD,1360,2260,120.0
25mm,STD,1510,2260,128.0
25mm,STD,1660,2260,141.0
25mm,STD,1810,2260,149.0
25mm,STD,1960,2260,161.0
25mm,STD,2110,2260,166.0
25mm,STD,2260,2260,181.0
25mm,STD,2410,2260,187.0
25mm,STD,2560,2260,197.0
25mm,STD,2710,2260,206.0
25mm,STD,2860,2260,217.0
25mm,STD,3010,2260,229.0
25mm,STD,3160,2260,235.0
25mm,STD,3310,2260,246.0
25mm,STD,3460,2260,257.0
