name,colour,band
Hive Plain FR,Grey,C
Hive Plain FR,Sand,C
Hive Plain FR,White,C
Hive Plain,Beige,C
Hive Plain,Cream,C
Hive Plain,Duck Egg,C
Hive Plain,Forest,C
Hive Plain,Green,C
Hive Plain,Grey,C
Hive Plain,Heather,C
Hive Plain,Light Grey,C
Hive Plain,Navy,C
Hive Plain,Sand,C
Hive Plain,Slate Grey,C
Hive Plain,Taupe,C
Hive Plain,White,C
Hive Plain,Yellow,C
Hive Quinta,Lagoon,D
Hive Quinta,Midnight,D
Hive Silkweave Blackout,Ash,C
Hive Silkweave Blackout,Elephant,C
Hive Silkweave Blackout,Hills,C
Hive Silkweave Blackout,Raven,C
Hive Silkweave,Ash,C
Hive Silkweave,Elephant,C
Hive Silkweave,Hills,C
Hive Silkweave,Raven,C
Hive Sisi,Mint,D
Hive Sisi,Soft Grey,D
Leora,Cream,B
Leora,Ivory,B
Lucan,Forest,B
Lucan,Gold,B
Lucan,Greige,B
Metropol,Cappuccino,A
Metropol,Olive,A
Metropol,White,A
Oakley,Aqua,B
Oakley,Cotton,B
Oakley,Denim,B
Oakley,Lemon,B
Oakley,Lilac,B
Oakley,Pistachio,B
Olympia,White,Elements
Paris,Grey,B
Paris,Taupe,B
Perrie,Denim,B
Perrie,Granola,B
Perrie,Iron,B
Perrie,Jade,B
Perrie,Lemon,B
Perrie,Oatmeal,B
Perrie,Snow,B
Radiance,Dark Silver,C
Radiance,White,C
Ribbons,Pewter,C
Ribbons,Taupe,C
Ribbons,White,C
Santiago,Brick,B
Santiago,Sand,B
Solace Blackout,Black,C
Solace Blackout,Charcoal,C
Solace Blackout,Rose,C
Solace Blackout,Sage,C
Solace Blackout,Silver,C
Solace Blackout,Taupe,C
Solace Blackout,Vanilla,C
Solace Blackout,White,C
Solstice,Anthracite,A
Solstice,Blossom,A
Solstice,Crimson,A
Solstice,Duck Egg,A
Solstice,Ecru,A
Solstice,Fig,A
Solstice,Indigo,A
Solstice,Lemon,A
Solstice,Light Sage,A
Solstice,Lily,A
Solstice,Pale Blue,A
Solstice,Pearl,A
Solstice,Petrol,A
Solstice,Pewter,A
Solstice,Silver,A
Solstice,Stone,A
Solstice,Terracotta,A
Solstice,White,A
Stratford,Cream,B
Stratford,White,B
Verona,Jade,C
Verona,Monochrome,C
Alcott asc Shape,Cappuccino,
Alcott asc Shape,Chalk,
Clarice asc Shape,Azure,
Clarice asc Shape,Fern,
Clarice asc Shape,Pewter,
Clarice asc Shape,Plum,
Duette Elan,Grayscale,D
Duette Elan,Pergamano,D
Duette Pearl Shape,Bronzite,
Duette Pearl Shape,Moonstone,
Duette Pearl Shape,Quartz,
Duette Vantage Shape,Forest,
Duette Vantage Shape,Hickory Ash,
Duette Vantage Shape,Olive,
Duette Vantage Shape,Oyster,
Duette Vantage Shape,Pearl River,
Hesper Shape,Blossom,
Hesper Shape,Cotton White,
Hesper Shape,Earth,
Hesper Shape,Grass,
Hesper Shape,Ocean,
Hesper Shape,Steel,
Hesper Shape,White,
Lucan asc Shape,Forest,
Lucan asc Shape,Gold,
Lucan asc Shape,Greige,
Oakley asc Shape,Aqua,
Oakley asc Shape,Cotton,
Oakley asc Shape,Denim,
Oakley asc Shape,Lemon,
Oakley asc Shape,Lilac,
Oakley asc Shape,Pistachio,
Perrie asc Shape,Denim,
Perrie asc Shape,Granola,
Perrie asc Shape,Iron,
Perrie asc Shape,Jade,
Perrie asc Shape,Lemon,
Perrie asc Shape,Oatmeal,
Perrie asc Shape,Snow,
Radiance asc Shape,Dark Silver,
Radiance asc Shape,White,
Solace Blackout Shape,Black,
Solace Blackout Shape,Charcoal,
Solace Blackout Shape,Rose,
Solace Blackout Shape,Sage,
Solace Blackout Shape,Silver,
Solace Blackout Shape,Taupe,
Solace Blackout Shape,Vanilla,
Solace Blackout Shape,White,
Verona Shape,Jade,
Verona Shape,Monochrome,
Duette Batiste Sheer,Papyrus,
Hive Matrix Blackout,Dark Grey Texture,C
Hive Matrix Blackout,Grass Texture,C
Hive Matrix Blackout,Light Grey Texture,C
Hive Matrix Blackout,Natural Texture,C
Hive Matrix Blackout,Navy Texture,C
Solace Blackout,Beige,C
Solace Blackout,Cream,C
Solace Blackout,Duck Egg,C
Solace Blackout,Forest,C
Solace Blackout,Green,C
Solace Blackout,Grey,C
Solace Blackout,Heather,C
Solace Blackout,Light Grey,C
Solace Blackout,Navy,C
Solace Blackout,Sand,C
Solace Blackout,Slate Grey,C
Solace Blackout,Yellow,C
Duette Unix,Celadon Green,C
Paris ascPerfect Fit,Grey,
Paris ascPerfect Fit,Taupe,
Radiance,Atlantic Blue,C
Radiance,Bright White,C
Radiance,Metallic Bronze,C
