system,band,width_mm,drop_mm,price
89mm,B,2300,1700,141.0
89mm,B,2500,1700,152.0
89mm,B,2700,1700,158.0
89mm,B,2900,1700,171.0
89mm,B,3100,1700,181.0
89mm,B,3300,1700,188.0
89mm,B,3500,1700,197.0
89mm,B,3700,1700,208.0
89mm,B,3900,1700,217.0
89mm,B,4100,1700,226.0
89mm,B,4300,1700,237.0
89mm,B,4500,1700,245.0
89mm,B,4700,1700,258.0
89mm,B,5000,1700,273.0
89mm,B,500,1900,57.0
89mm,B,700,1900,68.0
89mm,B,900,1900,75.0
89mm,B,1100,1900,86.0
89mm,B,1300,1900,99.0
89mm,B,1500,1900,108.0
89mm,B,1700,1900,116.0
89mm,B,1900,1900,126.0
89mm,B,2100,1900,140.0
89mm,B,2300,1900,147.0
89mm,B,2500,1900,158.0
89mm,B,2700,1900,171.0
89mm,B,2900,1900,181.0
89mm,B,3100,1900,189.0
89mm,B,3300,1900,202.0
89mm,B,3500,1900,210.0
89mm,B,3700,1900,223.0
89mm,B,3900,1900,230.0
89mm,B,4100,1900,240.0
89mm,B,4300,1900,252.0
89mm,B,4500,1900,263.0
89mm,B,4700,1900,273.0
89mm,B,5000,1900,286.0
89mm,B,500,2100,57.0
89mm,B,700,2100,69.0
89mm,B,900,2100,81.0
89mm,B,1100,2100,88.0
89mm,B,1300,2100,104.0
89mm,B,1500,2100,111.0
89mm,B,1700,2100,122.0
89mm,B,1900,2100,136.0
89mm,B,2100,2100,145.0
89mm,B,2300,2100,156.0
89mm,B,2500,2100,166.0
89mm,B,2700,2100,181.0
89mm,B,2900,2100,189.0
89mm,B,3100,2100,202.0
89mm,B,3300,2100,211.0
89mm,B,3500,2100,223.0
89mm,B,3700,2100,233.0
89mm,B,3900,2100,245.0
89mm,B,4100,2100,257.0
89mm,B,4300,2100,267.0
89mm,B,4500,2100,277.0
89mm,B,4700,2100,286.0
89mm,B,5000,2100,304.0
89mm,B,500,2300,63.0
89mm,B,700,2300,70.0
89mm,B,900,2300,83.0
89mm,B,1100,2300,95.0
89mm,B,1300,2300,108.0
89mm,B,1500,2300,118.0
89mm,B,1700,2300,130.0
89mm,B,1900,2300,141.0
89mm,B,2100,2300,152.0
89mm,B,2300,2300,164.0
89mm,B,2500,2300,178.0
89mm,B,2700,2300,188.0
89mm,B,2900,2300,202.0
89mm,B,3100,2300,211.0
89mm,B,3300,2300,224.0
89mm,B,3500,2300,233.0
89mm,B,3700,2300,245.0
89mm,B,3900,2300,258.0
89mm,B,4100,2300,269.0
89mm,B,4300,2300,280.0
89mm,B,4500,2300,294.0
89mm,B,4700,2300,304.0
89mm,B,5000,2300,321.0
89mm,B,500,2500,64.0
89mm,B,700,2500,73.0
89mm,B,900,2500,84.0
89mm,B,1100,2500,100.0
89mm,B,1300,2500,111.0
89mm,B,1500,2500,122.0
89mm,B,1700,2500,136.0
89mm,B,1900,2500,147.0
89mm,B,2100,2500,157.0
89mm,B,2300,2500,173.0
89mm,B,2500,2500,187.0
89mm,B,2700,2500,197.0
89mm,B,2900,2500,210.0
89mm,B,3100,2500,223.0
89mm,B,3300,2500,233.0
89mm,B,3500,2500,245.0
89mm,B,3700,2500,260.0
89mm,B,3900,2500,273.0
89mm,B,4100,2500,284.0
